,word,overall_rank,rank_english,rank_japanese,kanji,hiragana,count_english,word_type_japanese
116,case,117,287,2008,ケース,ケース,235563000,Noun
117,both,118,300,1514,両方,りょうほう,228648541,Noun
118,both,119,300,5269,両者,りょうしゃ,228648541,Noun
119,county,120,302,3717,郡,ぐん,227567373,Noun
120,game,121,305,280,ゲーム,ゲーム,227111505,Noun
121,power,122,307,4655,動力,どうりょく,226596368,Noun
122,network,123,310,4107,ネットワーク,ネットワーク,225218991,Noun
123,computer,124,312,416,コンピューター,コンピューター,224177047,Noun
124,three,125,314,6,三,さん,223417394,Noun
125,total,126,315,5135,総数,そうすう,222649459,Noun
126,place,127,316,40,ところ,ところ,220970235,Noun
127,think,128,325,209,思う,おもう,217856550,Verb
128,north,129,326,533,北,きた,217809513,Noun
129,resources,130,327,2885,資源,しげん,217268632,Noun
130,big,131,330,73,大きい,おおきい,216690546,Adjective
131,law,132,332,889,法律,ほうりつ,216122487,Noun
132,water,133,334,46,水,みず,215178488,Noun
133,history,134,335,1453,歴史,れきし,215000515,Noun
134,since,135,340,2666,以来,いらい,214302926,Noun
135,guide,136,342,2738,ガイド,ガイド,213378807,Verbal Noun
136,change,137,347,254,変える,かえる,210601244,Verb
137,change,138,347,970,変わる,かわる,210601244,Verb
138,change,139,347,974,変化,へんか,210601244,Verbal Noun
139,white,140,348,675,白,しろ,209863729,Noun
140,small,141,350,74,小さい,ちいさい,208371878,Adjective
141,rate,142,352,4570,割り,わり,207634179,Noun
142,return,143,357,5886,返却,へんきゃく,205629763,Verbal Noun
143,shopping,144,360,3095,ショッピング,ショッピング,204104275,Verbal Noun
144,level,145,364,4031,レベル,レベル,202563642,Noun
145,love,146,370,112,大好き,だいすき,201063526,Adjective
146,love,147,370,1623,愛,あい,201063526,Verbal Noun
147,love,148,370,5444,恋愛,れんあい,201063526,Verbal Noun
148,old,149,371,206,古い,ふるい,199694226,Adjective
149,image,150,376,2016,イメージ,イメージ,197874283,Verbal Noun
150,title,151,378,4493,題名,だいめい,196676017,Noun
151,description,152,379,3403,記述,きじゅつ,196301245,Verbal Noun
152,insurance,153,383,4903,保険,ほけん,193271293,Noun
153,why,154,385,290,どうして,どうして,192000672,Adverb
154,class,155,388,626,クラス,クラス,191087771,Noun
155,money,156,391,47,金,かね,190205072,Noun
156,quality,157,392,2403,質,しつ,189509533,Noun
157,quality,158,392,4485,品質,ひんしつ,189509533,Noun
158,country,159,396,182,国,くに,188691168,Noun
159,visit,160,399,5238,訪問,ほうもん,187062316,Verbal Noun
160,low,161,402,4130,低,てい,184815478,Noun
161,include,162,408,5313,含める,ふくめる,182579275,Verb
162,food,163,418,219,食べ物,たべもの,180144029,Noun
163,food,164,418,2314,食物,しょくもつ,180144029,Noun
164,sale,165,425,4310,安売り,やすうり,179224570,Verbal Noun
165,print,166,427,4666,プリント,プリント,178250872,Verbal Noun
166,room,167,433,185,部屋,へや,176299905,Noun
167,stock,168,434,2434,株式,かぶしき,176295589,Noun
168,science,169,440,1197,科学,かがく,174232809,Noun
169,science,170,440,1199,理科,りか,174232809,Noun
170,science,171,440,5650,理系,りけい,174232809,Noun
171,left,172,448,85,左,ひだり,171752631,Noun
172,team,173,449,4088,チーム,チーム,171687825,Noun
173,week,174,458,57,週,しゅう,167202060,Noun
174,table,175,464,270,テーブル,テーブル,165341452,Noun
175,market,176,470,4371,マーケット,マーケット,162390150,Noun
176,library,177,471,287,図書館,としょかん,162076395,Noun
177,library,178,471,1124,図書室,としょしつ,162076395,Noun
178,series,179,475,2058,シリーズ,シリーズ,161518557,Noun
179,model,180,476,4050,モデル,モデル,161205740,Noun
180,industry,181,479,900,産業,さんぎょう,160812623,Noun
181,plan,182,480,4553,プラン,プラン,160746244,Noun
182,hot,183,487,5063,ホット,ホット,159287179,Noun
183,movie,184,490,1070,映画,えいが,158421100,Noun
184,say,185,496,2813,おっしゃる,おっしゃる,156845267,Verb
185,going,186,500,428,行き,いき,155284081,Noun
186,going,187,500,429,行き,ゆき,155284081,Noun
187,friend,188,503,4098,友人,ゆうじん,154527125,Noun
188,come,189,504,68,来る,くる,154326119,Verb
189,study,190,508,238,勉強,べんきょう,152978354,Verbal Noun
190,application,191,509,3002,応募,おうぼ,152776595,Verbal Noun
191,application,192,509,5165,適用,てきよう,152776595,Verbal Noun
192,play,193,516,289,遊ぶ,あそぶ,150748333,Verb
193,tax,194,531,2542,税金,ぜいきん,146906651,Noun
194,tax,195,531,2543,税,ぜい,146906651,Noun
195,person,196,532,88,人,ひと,146749448,Noun
196,below,197,533,2664,以下,いか,145701629,Noun
197,party,198,538,636,パーティー,パーティー,144707500,Verbal Noun
198,student,199,542,233,学生,がくせい,143590165,Noun
199,red,200,554,184,赤い,あかい,140799532,Adjective
200,give,201,555,110,あげる,あげる,140688602,Verb
201,memory,202,556,4404,物覚え,ものおぼえ,140479833,Noun
202,language,203,562,590,言語,げんご,138517992,Noun
203,sell,204,564,194,売る,うる,137696613,Verb
204,experience,205,566,892,経験,けいけん,137134662,Verbal Noun
205,young,206,571,306,若い,わかい,136341684,Adjective
206,paper,207,577,272,紙,かみ,134939426,Noun
207,club,208,582,2190,クラブ,クラブ,132428495,Noun
208,something,209,589,417,何か,なにか,131836210,Noun
209,question,210,592,243,質問,しつもん,130644510,Verbal Noun
210,hard,211,596,4296,ハード,ハード,130054708,Adjective
211,pay,212,599,252,払う,はらう,129198530,Verb
212,pay,213,599,2479,支払う,しはらう,129198530,Verb
213,four,214,600,9,四,し,129167110,Noun
214,four,215,600,11,四,よん,129167110,Noun
215,building,216,606,536,ビル,ビル,128251365,Noun
216,court,217,608,941,コート,コート,127719981,Noun
217,always,218,610,210,いつも,いつも,127634767,Adverb
218,light,219,613,2090,明かり,あかり,126699632,Noun
219,write,220,614,158,書く,かく,126645151,Verb
220,write,221,614,3414,著す,あらわす,126645151,Verb
221,blue,222,618,517,青い,あおい,126160941,Adjective
222,analysis,223,626,5527,分析,ぶんせき,124949540,Verbal Noun
223,request,224,627,5284,リクエスト,リクエスト,124620318,Verbal Noun
224,star,225,639,2381,スター,スター,122498186,Noun
225,future,226,641,702,未来,みらい,121844371,Noun
226,committee,227,643,2986,委員会,いいんかい,121345834,Noun
227,hand,228,644,104,手,て,121296661,Noun
228,sun,229,645,1435,太陽,たいよう,121218500,Noun
229,meeting,230,650,310,ミーティング,ミーティング,120814306,Noun
230,become,231,652,20,なる,なる,120495036,Verb
231,become,232,652,399,なる,なる,120495036,Verb
232,interest,233,653,3581,興味,きょうみ,120272948,Noun
233,interest,234,653,4539,利子,りし,120272948,Noun
234,interest,235,653,4789,利息,りそく,120272948,Noun
235,enter,236,657,92,入る,はいる,119394206,Verb
236,baby,237,669,679,赤ちゃん,あかちゃん,117696064,Noun
237,baby,238,669,3745,赤ん坊,あかんぼう,117696064,Noun
238,energy,239,671,2132,エネルギー,エネルギー,117451031,Noun
239,run,240,672,172,走る,はしる,117213565,Verb
240,delivery,241,673,805,配達,はいたつ,117119498,Verbal Noun
241,film,242,677,756,フィルム,フィルム,116097842,Noun
242,welcome,243,685,1941,ようこそ,ようこそ,114025350,Adverb
243,welcome,244,685,3823,歓迎,かんげい,114025350,Verbal Noun
244,head,245,692,328,頭,あたま,113316224,Noun
245,radio,246,693,716,ラジオ,ラジオ,113285624,Noun
246,color,247,696,277,色,いろ,112965658,Noun
247,color,248,696,806,カラー,カラー,112965658,Noun
248,self,249,697,3366,自身,じしん,112902176,Noun
249,society,250,711,608,社会,しゃかい,111199035,Noun
250,green,251,733,1488,緑色,みどりいろ,108287905,Noun; Na-adjective; No-adjective
251,green,252,733,2879,グリーン,グリーン,108287905,Noun
252,close,253,735,124,閉じる,とじる,107853068,Verb
253,close,254,735,5592,つぶる,つぶる,107853068,Verb
254,drive,255,737,1008,運転,うんてん,107799371,Verbal Noun
255,drive,256,737,1276,ドライブ,ドライブ,107799371,Verbal Noun
256,beach,257,757,5290,ビーチ,ビーチ,105642682,Noun
257,five,258,764,13,五,ご,104165769,Noun
258,weather,259,771,118,天気,てんき,103331913,Noun
259,land,260,773,633,土地,とち,103132933,Noun
260,window,261,777,1125,窓,まど,102711715,Noun
261,window,262,777,4782,窓口,まどぐち,102711715,Noun
262,island,263,781,4946,島,とう,102316998,Noun
263,record,264,782,661,レコード,レコード,102234743,Noun
264,calendar,265,790,1336,カレンダー,カレンダー,101303808,Noun
265,style,266,792,2282,スタイル,スタイル,101024266,Noun
266,front,267,794,4135,前方,ぜんぽう,100886343,Noun
267,early,268,801,263,早い,はやい,100013194,Adjective
268,word,269,810,4495,単語,たんご,98671341,Noun
269,adult,270,821,87,大人,おとな,97583096,Noun
270,adult,271,821,2036,大人,おとな,97583096,Adjective
271,finance,272,830,3428,金融,きんゆう,96554164,Noun
272,bad,273,841,208,悪い,わるい,95096787,Adjective
273,individual,274,842,879,個人,こじん,94815082,Noun
274,together,275,849,3207,一緒,いっしょ,94113765,Verbal Noun
275,percent,276,851,1911,パーセント,パーセント,94036312,Noun
276,fast,277,852,264,速い,はやい,93941472,Adjective
277,meet,278,859,161,会う,あう,93275872,Verb
278,meet,279,859,4183,出会う,であう,93275872,Verb
279,often,280,866,80,よく,よく,92551460,Adverb
280,often,281,866,4234,度々,たびたび,92551460,Adverb
281,bank,282,875,682,銀行,ぎんこう,91559349,Noun
282,various,283,880,1085,色々,いろいろ,91156139,Adjectival Noun
283,production,284,884,829,生産,せいさん,90612739,Verbal Noun
284,weight,285,887,803,重さ,おもさ,90506560,Noun
285,weight,286,887,2324,重量,じゅうりょう,90506560,Noun
286,weight,287,887,4082,目方,めかた,90506560,Noun
