,word,kanji,reading,overall_rank,rank_english,rank_japanese
665,chemistry,化学,かがく,666,3184,2530
666,neighborhood,近所,きんじょ,667,3186,780
667,anyway,どうせ,どうせ,668,3192,4647
668,logic,論理,ろんり,669,3198,4825
669,circle,円,えん,670,3201,27
670,circumstances,都合,つごう,671,3209,793
671,cooking,炊事,すいじ,672,3219,3695
672,arm,腕,うで,673,3230,391
673,chocolate,チョコレート,チョコレート,674,3267,1221
674,cotton,木綿,もめん,675,3274,1782
675,cotton,綿,めん,676,3274,5652
676,notebook,手帳,てちょう,677,3295,1859
677,husband,夫,おっと,678,3301,363
678,concert,コンサート,コンサート,679,3307,2207
679,efficiency,効率,こうりつ,680,3311,2810
680,efficiency,能率,のうりつ,681,3311,4924
681,comedy,喜劇,きげき,682,3313,3531
682,visa,ビザ,ビザ,683,3326,951
683,mouth,口,くち,684,3327,101
684,fruit,果物,くだもの,685,3342,1144
685,fruit,フルーツ,フルーツ,686,3342,5756
686,reform,改革,かいかく,687,3345,1319
687,lens,レンズ,レンズ,688,3346,4458
688,draw,描く,えがく,689,3350,3501
689,warm,暖かい,あたたかい,690,3359,204
690,objective,客観的,きゃっかんてき,691,3381,3146
691,sugar,砂糖,さとう,692,3383,1577
692,slide,スライド,スライド,693,3394,2805
693,formal,形式的,けいしきてき,694,3408,2756
694,storm,嵐,あらし,695,3413,3938
695,bowl,丼,どんぶり,696,3423,5711
696,paint,ペンキ,ペンキ,697,3445,4817
697,pilot,パイロット,パイロット,698,3447,4422
698,mirror,鏡,かがみ,699,3498,1714
699,catalogue,カタログ,カタログ,700,3511,2655
700,hate,大嫌い,だいきらい,701,3527,1770
701,tomorrow,明日,あした,702,3565,523
702,tomorrow,明日,みょうにち,703,3565,4106
703,milk,牛乳,ぎゅうにゅう,704,3567,1862
704,contest,コンテスト,コンテスト,705,3575,2954
705,absolutely,絶対,ぜったい,706,3582,3621
706,lunch,昼食,ちゅうしょく,707,3584,577
707,lunch,ランチ,ランチ,708,3584,1696
708,muscle,筋,すじ,709,3591,3750
709,tower,そびえる,そびえる,710,3599,4799
710,chicken,鶏,にわとり,711,3605,1837
711,shower,シャワー,シャワー,712,3608,1396
712,governor,知事,ちじ,713,3623,4348
713,swimming,水泳,すいえい,714,3628,1408
714,northwest,北西,ほくせい,715,3641,4112
715,classroom,教室,きょうしつ,716,3648,1123
716,democracy,民主,みんしゅ,717,3650,4819
717,classification,分類,ぶんるい,718,3692,4719
718,suit,スーツ,スーツ,719,3709,1211
719,comfortable,ゆったり,ゆったり,720,3746,4723
720,treat,ごちそうする,ごちそうする,721,3758,1841
721,treat,おごる,おごる,722,3758,3037
722,piano,ピアノ,ピアノ,723,3763,811
723,revolution,革命,かくめい,724,3771,2961
724,acquisition,獲得,かくとく,725,3794,3831
725,notification,通知,つうち,726,3802,4350
726,sensitive,敏感,びんかん,727,3826,5831
727,concrete,コンクリート,コンクリート,728,3834,2149
728,completion,完了,かんりょう,729,3841,3431
729,pearl,真珠,しんじゅ,730,3864,3961
730,smooth,すべすべ,すべすべ,731,3880,3643
731,strike,ストライキ,ストライキ,732,3884,2705
732,hundred,百,ひゃく,733,3926,24
733,bathroom,便所,べんじょ,734,3946,784
734,bathroom,風呂場,ふろば,735,3946,5930
735,humor,ユーモア,ユーモア,736,3971,4786
736,exception,例外,れいがい,737,3974,5320
737,seed,種,たね,738,4013,4718
738,welfare,福祉,ふくし,739,4022,5358
739,conclusion,結論,けつろん,740,4037,2737
740,thousand,千,せん,741,4040,25
741,formation,形成,けいせい,742,4063,2862
742,forever,いつまでも,いつまでも,743,4085,2331
743,captain,船長,せんちょう,744,4088,4942
744,heating,暖房,だんぼう,745,4092,1484
745,neck,首,くび,746,4094,327
746,stereo,ステレオ,ステレオ,747,4101,1456
747,belt,ベルト,ベルト,748,4121,1376
748,excess,超過,ちょうか,749,4133,5377
749,angle,角度,かくど,750,4157,2652
750,garage,車庫,しゃこ,751,4179,3122
751,unfortunately,あいにく,あいにく,752,4184,2995
752,prayer,祈り,いのり,753,4201,3909
753,cheese,チーズ,チーズ,754,4213,1271
754,underground,地下,ちか,755,4221,4222
755,diagnosis,診断,しんだん,756,4222,3490
756,crack,ひび,ひび,757,4224,5107
757,cake,ケーキ,ケーキ,758,4242,1196
758,pen,ペン,ペン,759,4269,1086
759,pipe,パイプ,パイプ,760,4312,4314
760,lecture,講演,こうえん,761,4316,3561
761,lecture,講義,こうぎ,762,4316,3562
762,classics,古典,こてん,763,4322,3544
763,dirty,汚い,きたない,764,4328,336
764,exhibition,展覧会,てんらんかい,765,4350,5839
765,cabinet,内閣,ないかく,766,4353,5845
766,composition,作曲,さっきょく,767,4365,2656
767,purple,紫,むらさき,768,4374,1950
768,prison,刑務所,けいむしょ,769,4390,3856
769,desert,砂漠,さばく,770,4409,3332
770,impossible,不可能,ふかのう,771,4446,4366
771,tissue,ティッシュ,ティッシュ,772,4466,1711
772,explanation,説明,せつめい,773,4474,1238
773,arrival,到着,とうちゃく,774,4484,5594
774,expense,経費,けいひ,775,4510,2429
775,establishment,確立,かくりつ,776,4542,2806
776,establishment,設置,せっち,777,4542,3190
777,mayor,市長,しちょう,778,4552,2299
778,pour,さす,さす,779,4561,3892
779,dust,ちり,ちり,780,4566,5158
780,dust,ほこり,ほこり,781,4566,5447
781,occupation,職業,しょくぎょう,782,4578,3018
782,diary,日記,にっき,783,4586,326
783,ward,区,く,784,4608,2306
784,roof,屋根,やね,785,4613,1678
785,kiss,キス,キス,786,4618,3070
786,experiment,実験,じっけん,787,4622,1037
787,absence,不在,ふざい,788,4642,4668
788,copper,銅,どう,789,4678,5547
789,receipt,レシート,レシート,790,4688,1701
790,receipt,受け取り,うけとり,791,4688,2330
791,southwest,南西,なんせい,792,4698,4109
792,boss,上司,じょうし,793,4699,3557
793,pride,プライド,プライド,794,4700,4931
794,uniform,制服,せいふく,795,4721,2675
795,intelligent,インテリ,インテリ,796,4767,2688
796,aluminum,アルミニウム,アルミニウム,797,4787,2456
797,repeat,繰り返す,くりかえす,798,4802,1497
798,flood,大水,おおみず,799,4817,2017
799,announcement,発表,はっぴょう,800,4827,1050
800,smile,にこにこ,にこにこ,801,4842,1526
801,smile,ほほえむ,ほほえむ,802,4842,5800
802,divorce,離婚,りこん,803,4862,1465
803,complaint,文句,もんく,804,4888,5789
804,scholarship,奨学金,しょうがくきん,805,4896,3899
805,burn,燃える,もえる,806,4915,1657
806,burn,やけど,やけど,807,4915,1791
807,burn,燃やす,もやす,808,4915,5490
808,bread,パン,パン,809,4920,846
809,wooden,木造,もくぞう,810,4922,4546
810,lie,嘘,うそ,811,4929,1957
811,conversation,会話,かいわ,812,4932,602
812,chest,胸,むね,813,4935,372
813,weak,弱い,よわい,814,4981,241
814,geography,地理,ちり,815,5002,4280
815,discrimination,差別,さべつ,816,5007,2749
816,vitamin,ビタミン,ビタミン,817,5014,5296
817,paradise,天国,てんごく,818,5022,4263
818,leaf,葉,は,819,5029,1683
819,leaf,葉っぱ,はっぱ,820,5029,5511
820,silk,絹,きぬ,821,5051,3648
821,romantic,ロマンチック,ロマンチック,822,5059,5466
822,examine,診る,みる,823,5064,5530
823,sad,悲しい,かなしい,824,5071,377
824,slowly,ゆっくり,ゆっくり,825,5074,726
825,rugby,ラグビー,ラグビー,826,5077,4484
826,kick,蹴る,ける,827,5089,1932
827,pot,鍋,なべ,828,5100,1794
828,earrings,イヤリング,イヤリング,829,5134,1581
829,passenger,乗客,じょうきゃく,830,5142,2540
830,egg,卵,たまご,831,5154,1737
831,robot,ロボット,ロボット,832,5191,426
832,wash,洗う,あらう,833,5204,1412
833,entrance,入り口,いりぐち,834,5207,472
834,illness,病気,びょうき,835,5235,316
835,southeast,南東,なんとう,836,5238,4110
836,soap,石鹸,せっけん,837,5253,2000
837,jam,ジャム,ジャム,838,5259,1606
838,increasingly,ますます,ますます,839,5266,4044
839,axis,軸,じく,840,5277,3869
840,hero,英雄,えいゆう,841,5294,3829
841,pace,ペース,ペース,842,5321,4465
842,observation,観測,かんそく,843,5336,3151
843,confirmation,確認,かくにん,844,5354,1220
844,supervisor,担任,たんにん,845,5358,5045
845,antenna,アンテナ,アンテナ,846,5371,2248
846,departure,出発,しゅっぱつ,847,5374,1048
847,shoulder,肩,かた,848,5380,388
848,diameter,直径,ちょっけい,849,5388,5709
849,doll,人形,にんぎょう,850,5390,1087
850,singer,歌手,かしゅ,851,5399,1067
851,rapidly,にわかに,にわかに,852,5427,5958
852,jeans,ジーパン,ジーパン,853,5445,2888
853,mood,ムード,ムード,854,5454,4359
854,favor,お願い,おねがい,855,5455,324
855,arrive,着く,つく,856,5474,988
856,sunset,日の入り,ひのいり,857,5476,4057
857,coal,石炭,せきたん,858,5528,3447
858,zoo,動物園,どうぶつえん,859,5536,1243
859,arrow,矢印,やじるし,860,5545,5657
860,suddenly,ぴたりと,ぴたりと,861,5557,5964
861,oxygen,酸素,さんそ,862,5558,3442
862,sleeve,袖,そで,863,5580,1977
863,beef,牛肉,ぎゅうにく,864,5584,685
864,crowd,群集,ぐんしゅう,865,5598,3716
865,crowd,人込み,ひとごみ,866,5598,4592
866,personality,人格,じんかく,867,5611,2245
867,rainbow,虹,にじ,868,5612,5938
868,gloves,手袋,てぶくろ,869,5616,1849
869,cord,コード,コード,870,5619,2423
870,cloud,雲,くも,871,5621,1440
871,knife,ナイフ,ナイフ,872,5631,1031
872,shelf,棚,たな,873,5634,1787
873,bookstore,書店,しょてん,874,5635,2226
874,crop,作物,さくもつ,875,5648,2313
875,sing,歌う,うたう,876,5694,275
876,perfume,香水,こうすい,877,5696,3872
877,sue,訴える,うったえる,878,5705,1642
878,hang,吊るす,つるす,879,5712,5971
879,hiking,ハイキング,ハイキング,880,5726,1551
880,photograph,写真,しゃしん,881,5732,1075
881,suicide,自殺,じさつ,882,5742,3076
882,logical,論理的,ろんりてき,883,5754,4859
883,automobile,自動車,じどうしゃ,884,5767,1149
884,northeast,北東,ほくとう,885,5773,4114
885,railway,鉄道,てつどう,886,5797,4269
886,mistake,ミス,ミス,887,5805,4390
887,sunglasses,サングラス,サングラス,888,5812,3186
888,stem,茎,くき,889,5836,3732
889,translate,訳す,やくす,890,5846,1538
890,broadcasting,放送,ほうそう,891,5890,1709
891,tail,尾,お,892,5936,3700
892,underwear,下着,したぎ,893,5942,990
893,underwear,肌着,はだぎ,894,5942,5749
894,nose,鼻,はな,895,5959,389
895,nylon,ナイロン,ナイロン,896,5992,1206
896,ceiling,天井,てんじょう,897,6000,1810
897,differ,異なる,ことなる,898,6074,1270
898,breath,息,いき,899,6080,2691
899,candle,ろうそく,ろうそく,900,6085,5926
900,panties,パンティー,パンティー,901,6118,5510
901,sisters,姉妹,しまい,902,6121,2687
902,soldier,兵士,へいし,903,6153,5613
903,bomb,爆弾,ばくだん,904,6158,5625
904,interval,間,あいだ,905,6160,544
905,brush,ブラシ,ブラシ,906,6165,5353
906,tongue,舌,した,907,6177,1825
907,skirt,スカート,スカート,908,6185,1081
908,suspect,怪しむ,あやしむ,909,6236,3820
909,cloth,布,ぬの,910,6280,5782
910,butter,バター,バター,911,6299,1321
911,pepper,こしょう,こしょう,912,6300,3635
912,bow,お辞儀,おじぎ,913,6335,1840
913,toilet,トイレ,トイレ,914,6347,791
914,calculation,計算,けいさん,915,6372,917
915,necklace,ネックレス,ネックレス,916,6411,1481
916,footwear,履物,はきもの,917,6440,5736
917,demonstration,デモ,デモ,918,6500,4119
918,graduation,卒業,そつぎょう,919,6504,1348
919,brake,ブレーキ,ブレーキ,920,6517,4384
920,pond,池,いけ,921,6565,1399
921,dam,ダム,ダム,922,6578,4502
922,separately,別々,べつべつ,923,6580,1175
923,separately,ばらばら,ばらばら,924,6580,5025
924,tire,タイヤ,タイヤ,925,6587,4584
925,friendship,親善,しんぜん,926,6595,3920
926,friendship,友情,ゆうじょう,927,6595,4330
927,passport,パスポート,パスポート,928,6597,991
928,scales,はかり,はかり,929,6608,5693
929,somehow,どうにか,どうにか,930,6615,4836
930,homework,宿題,しゅくだい,931,6634,1118
931,treaty,条約,じょうやく,932,6651,3019
932,lemon,レモン,レモン,933,6659,1266
933,joke,冗談,じょうだん,934,6675,1885
934,celebrate,お祝い,おいわい,935,6691,1629
935,bench,ベンチ,ベンチ,936,6699,4824
936,radius,半径,はんけい,937,6704,5710
937,salad,サラダ,サラダ,938,6737,1366
938,veteran,ベテラン,ベテラン,939,6768,4440
939,landing,着陸,ちゃくりく,940,6770,5228
940,reunion,再会,さいかい,941,6789,3506
941,float,浮かぶ,うかぶ,942,6803,3111
942,float,浮く,うく,943,6803,3114
943,equality,同等,どうとう,944,6824,4884
944,companion,連れ,つれ,945,6838,4996
945,swim,泳ぐ,およぐ,946,6845,1407
946,tunnel,トンネル,トンネル,947,6860,4251
947,wheat,小麦,こむぎ,948,6869,3691
948,wheat,麦,むぎ,949,6869,5715
949,distribute,配る,くばる,950,6874,804
950,bee,蜂,はち,951,6885,5992
951,bride,花嫁,はなよめ,952,6890,5797
952,scientist,科学者,かがくしゃ,953,6924,2766
953,inflation,インフレーション,インフレーション,954,6943,3701
954,knee,ひざ,ひざ,955,7034,1916
955,rarely,めったに,めったに,956,7073,971
956,rarely,まれ,まれ,957,7073,5838
957,bicycle,自転車,じてんしゃ,958,7084,311
958,humidity,湿度,しつど,959,7097,3131
959,protest,抗議,こうぎ,960,7148,3629
960,invention,発明,はつめい,961,7155,4677
961,nickname,あだ名,あだな,962,7156,3668
962,cancellation,キャンセル,キャンセル,963,7191,2838
963,butterfly,蝶蝶,ちょうちょう,964,7213,5962
964,uncle,おじ,おじ,965,7224,1141
965,uncle,おじさん,おじさん,966,7224,1371
966,reflection,反映,はんえい,967,7228,4833
967,reflection,反射,はんしゃ,968,7228,5392
968,invitation,招待,しょうたい,969,7232,1613
969,journalism,ジャーナリズム,ジャーナリズム,970,7287,2896
970,frog,かえる,かえる,971,7293,2746
971,grammar,文法,ぶんぽう,972,7294,4529
972,semiconductor,半導体,はんどうたい,973,7309,5399
973,ribbon,リボン,リボン,974,7334,1446
974,impression,印象,いんしょう,975,7353,3242
975,transparent,透明,とうめい,976,7379,5398
976,boom,ブーム,ブーム,977,7386,4075
977,fork,フォーク,フォーク,978,7405,1461
978,twins,双子,ふたご,979,7430,5921
979,triangle,三角,さんかく,980,7435,1097
980,triangle,三角形,さんかくけい,981,7435,2653
981,hydrogen,水素,すいそ,982,7446,3445
982,tray,盆,ぼん,983,7455,5906
983,bat,バット,バット,984,7477,5013
984,embassy,大使館,たいしかん,985,7511,1114
985,indirect,間接,かんせつ,986,7518,2650
986,wool,ウール,ウール,987,7520,1531
987,volleyball,バレーボール,バレーボール,988,7524,1326
988,horizon,水平線,すいへいせん,989,7527,2760
989,horizon,地平線,ちへいせん,990,7527,4875
990,karaoke,カラオケ,カラオケ,991,7582,2580
991,trap,挟む,はさむ,992,7583,5956
992,vegetable,野菜,やさい,993,7658,690
993,humanities,人文科学,じんぶんかがく,994,7661,2773
994,scratch,掻く,かく,995,7665,3978
995,belly,腹,はら,996,7749,5518
996,thumb,親指,おやゆび,997,7799,2683
997,stomach,おなか,おなか,998,7838,300
998,stomach,胃,い,999,7838,1689
999,fate,運命,うんめい,1000,7888,2965
1000,battlefield,戦場,せんじょう,1001,7920,3082
1001,envelope,封筒,ふうとう,1002,7956,1868
1002,disco,ディスコ,ディスコ,1003,7965,4691
1003,pig,豚,ぶた,1004,7993,1834
1004,imagination,想像,そうぞう,1005,7999,5084
1005,actress,女優,じょゆう,1006,8008,3357
1006,chorus,合唱,がっしょう,1007,8026,3873
1007,rhythm,リズム,リズム,1008,8028,4654
1008,rope,ロープ,ロープ,1009,8050,4496
1009,unexpected,思いがけない,おもいがけない,1010,8101,2276
1010,characteristic,特色,とくしょく,1011,8104,4845
1011,defeat,破る,やぶる,1012,8135,5098
1012,sunrise,日の出,ひので,1013,8162,4061
1013,fur,毛皮,けがわ,1014,8165,3698
1014,affiliation,系列,けいれつ,1015,8173,3645
1015,thickness,厚さ,あつさ,1016,8197,1584
1016,genius,天才,てんさい,1017,8200,4354
1017,balloon,風船,ふうせん,1018,8246,4944
1018,ham,ハム,ハム,1019,8250,1556
1019,peninsula,半島,はんとう,1020,8354,4945
1020,tent,テント,テント,1021,8402,876
1021,questionnaire,アンケート,アンケート,1022,8405,2348
1022,earthquake,地震,じしん,1023,8449,1443
1023,poet,詩人,しじん,1024,8482,3663
1024,surname,名字,みょうじ,1025,8484,787
1025,potato,ジャガイモ,ジャガイモ,1026,8549,1861
1026,onion,玉ねぎ,たまねぎ,1027,8560,5927
1027,sandwich,サンドイッチ,サンドイッチ,1028,8563,1521
1028,girlfriend,ガールフレンド,ガールフレンド,1029,8568,1586
1029,textbook,教科書,きょうかしょ,1030,8617,1198
1030,lighter,ライター,ライター,1031,8657,1386
1031,pillow,枕,まくら,1032,8672,1956
1032,marathon,マラソン,マラソン,1033,8736,4471
1033,ant,あり,あり,1034,8737,3601
1034,gasoline,ガソリン,ガソリン,1035,8741,2365
1035,badge,バッジ,バッジ,1036,8768,4950
1036,wrist,手首,てくび,1037,8769,5031
1037,tremendous,物凄い,ものすごい,1038,8774,5966
1038,postcard,葉書,はがき,1039,8793,1685
1039,elephant,象,ぞう,1040,8794,5085
1040,scholar,学者,がくしゃ,1041,8798,2694
1041,ambassador,大使,たいし,1042,8832,4301
1042,phenomenon,現象,げんしょう,1043,8866,3041
1043,pork,豚肉,ぶたにく,1044,8947,1835
1044,frost,霜,しも,1045,8985,3885
1045,stationery,文房具,ぶんぼうぐ,1046,9012,1485
1046,cliff,崖,がけ,1047,9036,3937
1047,journalist,ジャーナリスト,ジャーナリスト,1048,9042,2273
1048,yen,円,えん,1049,9150,28
1049,refrigerator,冷蔵庫,れいぞうこ,1050,9208,1424
1050,sacrifice,犠牲,ぎせい,1051,9280,3744
1051,emperor,天皇,てんのう,1052,9295,5929
1052,tomato,トマト,トマト,1053,9324,1316
1053,undertake,引き受ける,ひきうける,1054,9347,4464
1054,tear,涙,なみだ,1055,9356,1633
1055,painful,痛い,いたい,1056,9372,318
1056,banana,バナナ,バナナ,1057,9397,1156
1057,tooth,歯,は,1058,9414,1194
1058,helicopter,ヘリコプター,ヘリコプター,1059,9441,4233
1059,pencil,鉛筆,えんぴつ,1060,9442,1844
1060,ladder,はしご,はしご,1061,9460,5699
1061,heel,かかと,かかと,1062,9509,3759
1062,blanket,毛布,もうふ,1063,9523,1853
1063,picnic,ピクニック,ピクニック,1064,9556,1646
1064,temporarily,一時,いちじ,1065,9612,2001
1065,detective,刑事,けいじ,1066,9630,3857
1066,persistent,しつこい,しつこい,1067,9645,2937
1067,aquarium,水族館,すいぞくかん,1068,9655,2685
1068,violin,バイオリン,バイオリン,1069,9656,986
1069,enclosure,同封,どうふう,1070,9676,5805
1070,mailman,郵便屋さん,ゆうびんやさん,1071,9722,773
1071,airplane,飛行機,ひこうき,1072,9777,323
1072,advancement,進出,しんしゅつ,1073,9793,2975
1073,advancement,進行,しんこう,1074,9793,2976
1074,advancement,前進,ぜんしん,1075,9793,2978
1075,knock,どんどん,どんどん,1076,9810,666
1076,knock,ノック,ノック,1077,9810,1716
1077,optimum,最適,さいてき,1078,9822,3129
1078,flour,小麦粉,こむぎこ,1079,9857,3692
1079,gentleman,紳士,しんし,1080,9891,3650
1080,continent,大陸,たいりく,1081,9952,5226
1081,strengthening,強化,きょうか,1082,9971,975
1082,subjective,主観的,しゅかんてき,1083,9987,3148
1083,stake,懸ける,かける,1084,9992,3687
1084,fatigue,疲労,ひろう,1085,10055,5350
1085,bitter,苦い,にがい,1086,10079,1567
1086,landlord,大家,おおや,1087,10169,2071
1087,landlord,家主,やぬし,1088,10169,4820
1088,towel,タオル,タオル,1089,10194,1181
1089,carpenter,大工,だいく,1090,10240,4198
1090,handbag,ハンドバッグ,ハンドバッグ,1091,10255,1341
1091,boyfriend,ボーイフレンド,ボーイフレンド,1092,10266,1561
1092,curtain,カーテン,カーテン,1093,10294,1021
1093,curtain,幕,まく,1094,10294,5754
1094,kindergarten,幼稚園,ようちえん,1095,10436,1894
1095,bud,つぼみ,つぼみ,1096,10541,5599
1096,dentist,歯医者,はいしゃ,1097,10543,1193
1097,bump,ぶつける,ぶつける,1098,10588,4578
1098,aunt,おば,おば,1099,10627,1466
1099,aunt,おばさん,おばさん,1100,10627,1821
1100,closet,押し入れ,おしいれ,1101,10648,859
1101,gram,グラム,グラム,1102,10679,866
1102,alphabet,アルファベット,アルファベット,1103,10686,3327
1103,sweat,汗,あせ,1104,10703,3868
1104,dentistry,歯科,しか,1105,10778,2770
1105,chill,寒気,さむけ,1106,10793,2254
1106,vivid,鮮やか,あざやか,1107,10810,3715
1107,upstream,上流,じょうりゅう,1108,10841,3099
1108,continuation,継続,けいぞく,1109,10843,3198
1109,servant,使用人,しようにん,1110,10846,2214
1110,wheelchair,車椅子,くるまいす,1111,10883,3991
1111,bucket,バケツ,バケツ,1112,10906,4981
1112,dessert,デザート,デザート,1113,10939,5321
1113,ambulance,救急車,きゅうきゅうしゃ,1114,10987,1380
1114,collision,追突,ついとつ,1115,11052,5608
1115,elastic,ゴム,ゴム,1116,11130,1001
1116,melody,メロディー,メロディー,1117,11131,4855
1117,cousin,いとこ,いとこ,1118,11133,1241
1118,headache,頭痛,ずつう,1119,11228,2951
1119,strawberry,苺,いちご,1120,11311,1988
1120,elevator,エレベーター,エレベーター,1121,11315,836
1121,ankle,足首,あしくび,1122,11344,2948
1122,borrow,借りる,かりる,1123,11358,930
1123,bamboo,竹,たけ,1124,11360,5772
1124,vibration,振動,しんどう,1125,11369,3160
1125,overtime,残業,ざんぎょう,1126,11417,2468
1126,substitution,代わり,かわり,1127,11441,2518
1127,spoon,スプーン,スプーン,1128,11594,1436
1128,locker,ロッカー,ロッカー,1129,11612,4925
1129,grandfather,お祖父さん,おじいさん,1130,11629,1939
1130,grandfather,祖父,そふ,1131,11629,1942
1131,subway,地下鉄,ちかてつ,1132,11661,684
1132,sightseeing,見物,けんぶつ,1133,11677,799
1133,sightseeing,観光,かんこう,1134,11677,3150
1134,spill,こぼす,こぼす,1135,11777,1691
1135,etiquette,エチケット,エチケット,1136,11811,3543
1136,initiation,入門,にゅうもん,1137,11830,4118
1137,noun,名詞,めいし,1138,11875,5570
1138,swallow,つばめ,つばめ,1139,11883,5580
1139,squid,いか,いか,1140,11889,3684
1140,simultaneous,同時,どうじ,1141,11933,4744
1141,symptom,症状,しょうじょう,1142,11976,3496
1142,laughter,笑い,わらい,1143,11977,5455
1143,laughter,笑い声,わらいごえ,1144,11977,5584
1144,ignorance,無知,むち,1145,11981,4351
1145,sour,酸っぱい,すっぱい,1146,12027,368
1146,verb,動詞,どうし,1147,12094,5569
1147,noisy,騒がしい,さわがしい,1148,12104,3574
1148,regret,後悔,こうかい,1149,12121,3802
1149,regret,惜しむ,おしむ,1150,12121,3813
1150,grandmother,お祖母さん,おばあさん,1151,12146,1940
1151,grandmother,祖母,そぼ,1152,12146,1943
1152,downstream,下流,かりゅう,1153,12157,3100
1153,viewpoint,視点,してん,1154,12203,3512
1154,capitalism,資本主義,しほんしゅぎ,1155,12271,2884
1155,cheating,カンニング,カンニング,1156,12334,3369
1156,conscience,良心,りょうしん,1157,12397,4342
1157,crush,潰れる,つぶれる,1158,12398,5950
1158,tasty,おいしい,おいしい,1159,12426,390
1159,cushion,座布団,ざぶとん,1160,12446,3753
1160,pediatrics,小児科,しょうにか,1161,12595,3768
1161,sushi,寿司,すし,1162,12598,1795
1162,elbow,ひじ,ひじ,1163,12610,1921
1163,strongest,最強,さいきょう,1164,12622,2391
1164,pumpkin,かぼちゃ,かぼちゃ,1165,12670,3145
1165,razor,かみそり,かみそり,1166,12682,3477
1166,cough,咳,せき,1167,12683,3973
1167,pedestrian,歩行者,ほこうしゃ,1168,12738,4793
1168,panda,ぱんだ,ぱんだ,1169,12765,5258
1169,midst,真っ最中,まっさいちゅう,1170,12856,4709
1170,appetite,食欲,しょくよく,1171,12944,2623
1171,shortcut,近道,ちかみち,1172,12967,4238
1172,feather,羽根,はね,1173,12983,5740
1173,tightly,ぎっしり,ぎっしり,1174,12994,3809
1174,eternity,永遠,えいえん,1175,13028,3117
1175,eternity,永久,えいきゅう,1176,13028,3118
1176,tuberculosis,結核,けっかく,1177,13060,3614
1177,shutter,シャッター,シャッター,1178,13077,2547
1178,toast,トースト,トースト,1179,13157,5410
1179,sigh,溜め息,ためいき,1180,13389,5978
1180,interpreting,通訳,つうやく,1181,13467,5285
1181,irregular,不規則,ふきそく,1182,13587,4533
1182,singular,単数,たんすう,1183,13600,4507
1183,volcano,火山,かざん,1184,13644,2048
1184,ashes,灰,はい,1185,13795,1819
1185,poisoning,中毒,ちゅうどく,1186,13849,5533
1186,plum,梅,うめ,1187,13932,3928
1187,crossroads,十字路,じゅうじろ,1188,13982,2163
1188,housewife,主婦,しゅふ,1189,14020,3376
1189,pistol,ピストル,ピストル,1190,14085,4628
1190,supermarket,スーパーマーケット,スーパーマーケット,1191,14148,1411
1191,tuna,まぐろ,まぐろ,1192,14257,5038
1192,harmless,無害,むがい,1193,14453,5096
1193,dispersion,分散,ぶんさん,1194,14465,5497
1194,curiosity,好奇心,こうきしん,1195,14466,3173
1195,boiling,沸騰,ふっとう,1196,14521,5885
1196,bathing,入浴,にゅうよく,1197,14565,5680
1197,rectangle,長方形,ちょうほうけい,1198,14636,4715
1198,supper,夕食,ゆうしょく,1199,14664,579
1199,instability,不安定,ふあんてい,1200,14670,4611
1200,cheek,ほほ,ほほ,1201,14743,5794
1201,cheek,頬,ほお,1202,14743,5996
1202,exhausted,くたくた,くたくた,1203,14778,3626
1203,mosquito,蚊,か,1204,14805,1964
1204,rewrite,書き直す,かきなおす,1205,14860,281
1205,grapes,ぶどう,ぶどう,1206,14877,966
1206,steadily,どんどん,どんどん,1207,14921,4182
1207,ruler,物差し,ものさし,1208,14974,4562
1208,airmail,航空便,こうくうびん,1209,14985,1249
1209,airmail,エアメール,エアメール,1210,14985,1776
1210,apologize,謝る,あやまる,1211,15033,1598
1211,apologize,お詫び,おわび,1212,15033,3993
1212,apologize,詫びる,わびる,1213,15033,5995
1213,shave,剃る,そる,1214,15075,1982
1214,resignation,辞任,じにん,1215,15150,2984
1215,halfway,中途,ちゅうと,1216,15254,5335
1216,kindness,親切,しんせつ,1217,15279,2681
1217,politician,政治家,せいじか,1218,15291,2940
1218,disadvantage,不利,ふり,1219,15341,4537
1219,chalk,チョーク,チョーク,1220,15366,1706
1220,cultivation,栽培,さいばい,1221,15377,3797
1221,pineapple,ぱいなっぷる,ぱいなっぷる,1222,15408,5252
1222,nap,昼寝,ひるね,1223,15456,1509
1223,sharply,がくんと,がくんと,1224,15468,3967
1224,vinegar,酢,す,1225,15476,3913
1225,robbery,強盗,ごうとう,1226,15562,3075
1226,boil,ゆでる,ゆでる,1227,15633,5895
1227,barley,大麦,おおむぎ,1228,15641,3694
1228,desperately,必死に,ひっしに,1229,15684,4894
1229,indoors,室内,しつない,1230,15762,2676
1230,courthouse,裁判所,さいばんしょ,1231,15940,3405
1231,kettle,やかん,やかん,1232,15959,1936
1232,slippers,スリッパ,スリッパ,1233,16007,1611
1233,bookshelf,本棚,ほんだな,1234,16010,1788
1234,comb,くし,くし,1235,16013,1826
1235,sleepy,眠い,ねむい,1236,16111,1865
1236,sleepy,眠たい,ねむたい,1237,16111,5801
1237,cabbage,キャベツ,キャベツ,1238,16414,2962
1238,pronunciation,発音,はつおん,1239,16565,4688
1239,manners,マナー,マナー,1240,16575,5019
1240,diarrhea,下痢,げり,1241,16627,3936
1241,nod,うなずく,うなずく,1242,16642,3742
1242,thermometer,寒暖計,かんだんけい,1243,16771,2458
