,word,kanji,reading,overall_rank,rank_english,rank_japanese
169,science,理科,りか,170,440,1199
170,science,理系,りけい,171,440,5650
171,left,左,ひだり,172,448,85
172,team,チーム,チーム,173,449,4088
173,week,週,しゅう,174,458,57
174,table,テーブル,テーブル,175,464,270
175,market,マーケット,マーケット,176,470,4371
176,library,図書館,としょかん,177,471,287
177,library,図書室,としょしつ,178,471,1124
178,series,シリーズ,シリーズ,179,475,2058
179,model,モデル,モデル,180,476,4050
180,industry,産業,さんぎょう,181,479,900
181,plan,プラン,プラン,182,480,4553
182,hot,ホット,ホット,183,487,5063
183,movie,映画,えいが,184,490,1070
184,say,おっしゃる,おっしゃる,185,496,2813
185,going,行き,いき,186,500,428
186,going,行き,ゆき,187,500,429
187,friend,友人,ゆうじん,188,503,4098
188,come,来る,くる,189,504,68
189,study,勉強,べんきょう,190,508,238
190,application,応募,おうぼ,191,509,3002
191,application,適用,てきよう,192,509,5165
192,play,遊ぶ,あそぶ,193,516,289
193,tax,税金,ぜいきん,194,531,2542
194,tax,税,ぜい,195,531,2543
195,person,人,ひと,196,532,88
196,below,以下,いか,197,533,2664
197,party,パーティー,パーティー,198,538,636
198,student,学生,がくせい,199,542,233
199,red,赤い,あかい,200,554,184
200,give,あげる,あげる,201,555,110
201,memory,物覚え,ものおぼえ,202,556,4404
202,language,言語,げんご,203,562,590
203,sell,売る,うる,204,564,194
204,experience,経験,けいけん,205,566,892
205,young,若い,わかい,206,571,306
206,paper,紙,かみ,207,577,272
207,club,クラブ,クラブ,208,582,2190
208,something,何か,なにか,209,589,417
209,question,質問,しつもん,210,592,243
210,hard,ハード,ハード,211,596,4296
211,pay,払う,はらう,212,599,252
212,pay,支払う,しはらう,213,599,2479
213,four,四,し,214,600,9
214,four,四,よん,215,600,11
215,building,ビル,ビル,216,606,536
216,court,コート,コート,217,608,941
217,always,いつも,いつも,218,610,210
218,light,明かり,あかり,219,613,2090
219,write,書く,かく,220,614,158
220,write,著す,あらわす,221,614,3414
